관리청명,적설취약구간명,시점 위도,시점 경도,종점 위도,종점 경도,도로분류명,도로취약유형명,총도로길이_km
경상남도 합천군,군도17호,35.7921123,128.0935868,35.7918228,128.0637314,군도,기타,2.4
대구광역시 서구 행정안전국 안전총괄과,장산로,35.8651914,128.5287548,35.8631406,128.5268155,시도,지하차도,0.5
부산광역시 남구,마을안길,35.1392106,129.073698,35.1392095,129.0739963,지방도,급경사,0.03
충청남도 부여군,홍산면도101호,36.2219679,126.7535629,36.2295132,126.7267627,농어촌도로,고갯길,1.5
충청남도 논산시,화산육교,36.1817445,127.0697835,36.1816187,127.0694923,시도,고가도로,0.03
충청북도 진천군,군도 3호선,36.7817979,127.4460802,36.7804924,127.4643479,군도,고갯길,4
부산광역시 동구,지방도,35.1188858,129.0382731,35.1192931,129.037203,구도,급경사,0.1
강원특별자치도 양양군,농어촌도로 손양101호선,38.0838751,128.6429864,38.0855768,128.6453652,농어촌도로,고갯길,1.2
대구광역시 달성군 건설과,면도102호선,35.7887577,128.5030477,35.7537547,128.5050424,농어촌도로,고갯길,4.5
울산광역시 동구,동해안로,35.5458767,129.4309743,35.5531184,129.4528725,구도,고갯길,2.5
강원특별자치도 양양군,군도2호선,38.0251133,128.6311371,38.0154793,128.6339723,군도,고갯길,3.8
대구광역시 수성구,월드컵지하차도,35.8338519,128.6742305,35.8327508,128.6891462,지방도,지하차도,1.3
대구광역시 달성군 건설과,팔조령도로,35.728538,128.6841332,35.7035673,128.686254,농어촌도로,고갯길,2.3
부산광역시 연제구 연산2동,황령산로,35.1627297,129.0815797,35.1586948,129.0828786,지방도,산악지대,1.4
부산광역시 연제구 연산9동,토곡로,35.1828668,129.1046154,35.1818327,129.1001203,구도,급경사,0.55
경상남도 의령군 안전건설국 건설과,지방도 1011호선,35.463146,128.2529237,35.4727653,128.2581806,지방도,고갯길,2.58
경상남도 함양군,"마을안길, 인도 등",35.5720653,127.6827222,35.5720653,127.6827222,군도,기타,0
부산광역시 남구,이면도로,35.1380511,129.095004,35.137284,129.0952913,지방도,급경사,0.04
경상남도 도로관리사업소,지방도 1080,35.571316,128.4446785,35.5641847,128.4510263,지방도,고갯길,1
강원특별자치도 고성군,농어촌도로202호선,38.504489,128.413566,38.5100874,128.3972682,농어촌도로,고갯길,1.3
울산광역시 동구,방어진순환로,35.5379698,129.4195006,35.5247428,129.4000514,시도,고갯길,2.2
강원특별자치도 양양군,농어촌도로 강현101호선,38.1449825,128.5732625,38.147678,128.5727833,농어촌도로,고갯길,1.5
광주광역시 동구,무등로,35.1548697,126.9321775,35.1577874,126.9441443,지방도,급경사,3.5
부산광역시 연제구 거제2동,금용로,35.1874577,129.0640168,35.1876366,129.0688126,지방도,고갯길,0.35
부산광역시 연제구 연산9동,톳고개로,35.1854171,129.1026455,35.1813045,129.1022246,구도,급경사,0.59
부산광역시 남구,이기대공원로 일대,35.1315412,129.1214777,35.1306937,129.1190022,군도,급경사,0.2
부산광역시 남구,진남로 165~진남로165번길31,35.1412941,129.0787994,35.1410975,129.0768975,구도,급경사,0.3
대구광역시 달서구,용산 지하차도,35.8588148,128.5252754,35.8587789,128.5238578,일반국도,지하차도,0.15
부산광역시 남구,장고개로,35.1356689,129.0692632,35.1253706,129.0710092,지방도,급경사,0.9
강원특별자치도 속초시,동해대로,38.1763151,128.6034171,38.1733665,128.6047799,시도,고갯길,0.35
강원특별자치도 양구군,군도 6호선,38.1454668,127.9146022,38.188976,127.9373775,군도,고갯길,7
경상남도 의령군 안전건설국 건설과,지방도 1041호선,35.4365165,128.2275628,35.4424984,128.2077216,지방도,고갯길,3.5
경상남도 함양군,"마을안길, 인도 등",35.5450317,127.7052932,35.5684951,127.6840818,군도,기타,0
부산광역시 연제구 거제2동,화지로,35.1850492,129.0660456,35.1887243,129.0658046,지방도,교차로,0.68
경상남도 함양군,"마을안길, 인도 등",35.51745,127.6638655,35.51745,127.6638655,군도,기타,0
강원특별자치도 고성군,군도8호선,38.124322,128.437941,38.209969,128.485594,군도,고갯길,6.62
울산광역시 중구,북부순환도로,35.5751887,129.3403242,35.5784873,129.3422732,시도,고갯길,0.3
광주광역시 동구,밤실로,35.1559363,126.9362804,35.1492709,126.9369852,지방도,급경사,0.7
전라남도 여수시,도시계획도로,34.7643994,127.6839942,34.7674726,127.6907799,시도,급경사,0.4
부산광역시 남구,황령대로319번가길,35.1537062,129.0886946,35.1502164,129.0897192,지방도,급경사,0.8
부산광역시 사하구,낙동대로,35.1003739,128.9932199,35.1033449,128.9910268,지방도,고갯길,0.5
경상남도 창원시 의창구,무역로,35.2328448,128.6436585,35.2296082,128.6407759,시도,기타,1
경상남도 거제시,지방도1018호선,34.8547551,128.6501927,34.8493529,128.6501516,지방도,고갯길,1
충청북도 괴산군,군도19호선,36.8452771,127.8226104,36.832687,127.8232122,군도,기타,3
광주광역시 동구,남문로,35.1149305,126.9357896,35.1105295,126.9369943,시도,상습정체,1.5
부산광역시 남구,동명로,35.1212349,129.09876,35.1196215,129.1120426,지방도,급경사,0.6
부산광역시 남구,이면도로,35.1405272,129.0881848,35.1404712,129.0875456,지방도,급경사,0.06
경상남도 창원시 진해구,마진터널,35.174,128.65,35.17,128.65,시도,고갯길,2
경상남도 창원시 의창구,국도79호선,35.2552037,128.6056295,35.2765113,128.6171811,위임국도,고갯길,4
충청남도 천안시,풍세로,36.7654841,127.1300581,36.7645533,127.1294282,지방도,기타,1
부산광역시 남구,이면도로,35.1219338,129.086133,35.1223108,129.0874326,지방도,급경사,0.13
경상남도 거제시,시도2호선,34.8762285,128.5787335,34.8857303,128.5768493,지방도,급경사,1
충청북도 괴산군,농어촌도로102호선,36.9227752,127.795617,36.9188274,127.7981336,농어촌도로,기타,1
광주광역시 동구,갈마로,35.1615367,126.9352037,35.1601819,126.9306969,지방도,급경사,0.9
부산광역시 남구,이면도로,35.1395633,129.0882031,35.1395168,129.0875417,지방도,급경사,0.06
경상남도 창원시 진해구,안민고갯길,35.15,128.67,35.15733,128.67528,시도,고갯길,1
경기도 안산시,대선로,37.2367821,126.5721075,37.2293114,126.5710064,시도,고갯길,0.9
경기도 안산시,대부황금로,37.2562709,126.5862588,37.2499053,126.5903486,지방도,고갯길,0.85
부산광역시 사하구,을숙도대로,35.0853696,128.9777238,35.0864899,128.9931149,지방도,급커브,1.4
부산광역시 사하구,낙동대로,35.1150289,128.9613217,35.1201729,128.9632189,지방도,급커브,1.2
부산광역시 사하구,장평로,35.0965954,128.9858887,35.0907138,128.9730764,지방도,고갯길,1.5
강원특별자치도 고성군,군도11호선,38.338298,128.45437,38.330392,128.459591,군도,고갯길,1.1
부산광역시 남구,이면도로,35.1182053,129.0837218,35.118204,129.0845276,지방도,급경사,0.5
서울특별시 성동구,용비교,37.545967,127.0304252,37.545967,127.0304252,시도,교량,1
부산광역시 사하구,까치고개로,35.1046935,129.0077002,35.1047432,129.0093863,지방도,고갯길,0.2
대구광역시 달성군,테크노폴리스 연결도로,35.6728857,128.4463729,35.6639517,128.4128292,지방도,기타,3.1
경상남도 창원시 성산구,두산볼보로,35.1913051,128.6278079,35.189329,128.602185,시도,기타,1.3
경상남도 창원시 마산합포구,국도79호선,35.1748608,128.4689669,35.1870004,128.4622234,일반국도,고갯길,1.5
경상남도 창원시 마산합포구,밤밭고개로,35.1631583,128.5509813,35.178927,128.5357568,일반국도,교차로,2.4
경상남도 거제시,시도9호선,34.8886576,128.5369425,34.8859234,128.5375289,시도,고갯길,1
충청남도 논산시,농어촌도 101,36.1220627,127.2440126,36.1311358,127.2453788,농어촌도로,교량,0.18
광주광역시 동구,대남로,35.1378658,126.9210485,35.14073,126.9236019,지방도,고갯길,0.6
울산광역시 울주군,국지도69호선,35.6210348,129.0324894,35.5291684,129.0098335,지방도,산악지대,11.3
경상남도 창원시 성산구,국도25호선 진출입로,35.230165,128.696563,35.2309657,128.7061874,시도,램프,1.4
경상남도 창원시 성산구,안민고개길,35.177904,128.689963,35.157294,128.675272,시도,급경사,1.8
서울특별시 구로구,도림천로,37.4868626,126.8982298,37.4935614,126.8947447,시도,급경사,0.54
서울특별시 구로구,고척로,37.500503,126.8554679,37.5003638,126.8551524,구도,급경사,0.06
경상남도 창원시 의창구,백월로,35.3211862,128.6228756,35.3052053,128.6549056,시도,고갯길,3
경상남도 창원시 마산합포구,회진로,35.1258372,128.4381849,35.0763859,128.4645646,일반국도,수변도로,4.6
충청남도 천안시,만남로,36.8241377,127.163889,36.8253888,127.1642558,지방도,기타,1
부산광역시 남구,이면도로,35.1201309,129.1095222,35.1189306,129.1037876,지방도,급경사,0.6
광주광역시 동구,지호로,35.1530483,126.9422685,35.1529273,126.9425383,지방도,급경사,0.6
광주광역시 동구,밤실로,35.1476715,126.9359391,35.1478798,126.9382274,지방도,고갯길,0.3
경상남도 창원시 의창구,국도14호선,35.2616089,128.6315774,35.2673335,128.6394899,일반국도,고갯길,1
경상남도 창원시 마산합포구,고운로,35.1899021,128.5584507,35.1863186,128.5613076,시도,급경사,0.8
경상남도 창원시 마산합포구,완월남로,35.1961931,128.5695469,35.1974249,128.5563665,시도,급경사,1.3
경상남도 거제시,시도1호선,34.8692529,128.5522468,34.8731013,128.5613311,시도,급경사,1
충청북도 괴산군,군도12호선,36.8135209,127.7915255,36.8090506,127.8084969,군도,기타,2
충청북도 괴산군,군도9호선,36.8470107,127.8566664,36.8424217,127.8650589,군도,기타,3.3
충청북도 괴산군,군도3호선,36.7707657,127.6553339,36.7576282,127.6526639,군도,기타,2.3
서울특별시 성동구,대현산배수지 앞,37.5546105,127.0202828,37.5553824,127.0221577,시도,급경사,0.3
충청북도 영동군 건설교통과,군도23호선,36.0545515,127.6596953,36.0390114,127.6659137,군도,고갯길,4
부산광역시 남구,이면도로,35.1228031,129.0844108,35.1229027,129.0845577,지방도,급경사,0.35
경기도 수원시 팔달구 안전건설과,세지로331번길,37.281024,127.0231835,37.2806484,127.0239233,시도,기타,0.2
경기도 수원시 권선구 안전건설과,구운동,37.2847153,126.9754772,37.2847153,126.9754772,시도,기타,1.1
부산광역시 남구,이면도로,35.1214461,129.0863573,35.1198814,129.0866024,지방도,급경사,0.2
경상북도 영덕군,군도21호선,36.5180137,129.3005708,36.5479576,129.2618811,군도,기타,10.5
경기도 수원시 장안구 안전건설과,덕영대로381번길,37.3022847,126.968407,37.3022517,126.9687303,시도,급경사,0.06
경기도 수원시 장안구 안전건설과,상률로12번길,37.3050405,126.9681076,37.3049662,126.9687974,시도,급경사,0.02
경상남도 거제시,국도5호선,34.9415015,128.6557816,34.953723,128.6551724,일반국도,급경사,1
충청남도 논산시,도시계획도,36.1601379,127.0249467,36.1600456,127.0250254,시도,교량,0.14
충청남도 논산시,시도4,36.1223474,127.1999053,36.1231027,127.2027437,시도,교량,0.1
충청북도 충주시,군도11호선(중앙탑),37.0359543,127.8449242,37.0561691,127.8351757,군도,급경사,3.1
경상남도 진주시,시도20호,35.1977447,128.1679642,35.1925057,128.2170337,일반국도,기타,6
서울특별시 성동구,왕십리로31나길,37.5625709,127.0274061,37.563026,127.0274885,구도,급경사,0.13
국토교통부 부산지방국토관리청 진주국토관리사무소,국도33호,35.2965589,128.0794003,35.3071557,128.0833302,일반국도,기타,0.4
충청북도 충주시,숭선고개,37.012776,127.7018921,37.0391235,127.708134,시도,고갯길,3.5
충청남도 서산시 건설도시국 도로과,준용도로2호선,36.6813131,126.580529,36.6660679,126.5912541,위임국도,급경사,6
충청남도 서산시,농어촌도로,36.7196308,126.5401605,36.7273074,126.5378819,농어촌도로,고갯길,1
경기도 평택시,도시계획도로,37.0203653,127.0699862,37.0203653,127.0699862,시도,고가도로,0.3
충청북도 충주시,군도9호선(신니),37.0126051,127.7020709,37.0392352,127.7080454,군도,급경사,3.5
경기도 양평군,군도5호선,37.5564606,127.5061879,37.5600289,127.5117861,군도,고갯길,1.5
경기도 평택시,도시계획도로,36.9883163,127.0876708,36.9883163,127.0876708,시도,지하차도,0.45
제주특별자치도 제주시,마을안길,33.9450837,126.315403,33.9450837,126.315403,지방도,기타,1
제주특별자치도 제주시,마을안길,33.5217082,126.812124,33.5217082,126.812124,지방도,기타,1
충청북도 충주시,군도26호선(산척),37.0738713,127.9880688,37.0669417,128.0514916,군도,급경사,6.9
경기도 수원시 장안구 안전건설과,상률로12번길,37.3053259,126.9693926,37.3052224,126.9702872,시도,급경사,0.02
경기도 평택시,비법정도로,37.0248172,127.1422518,37.0304008,127.141955,시도,고갯길,0.34
경기도 평택시,도시계획도로,36.9767927,127.1160274,36.9767927,127.1160274,시도,고갯길,0.1
제주특별자치도 제주시,이면도로,33.4756643,126.4803536,33.4761531,126.4796114,지방도,기타,1
제주특별자치도 제주시,이면도로,33.5125078,126.5249573,33.5125078,126.5249573,지방도,기타,1
경기도 수원시 영통구 안전건설과,영통로 154번길,37.2413886,127.058603,37.2403826,127.0587986,지방도,기타,0.12
경기도 평택시,도시계획도로,36.9979462,127.0786939,36.9979462,127.0786939,시도,지하차도,0.34
경기도 평택시,도시계획도로,36.99468,127.0909792,37.0006427,127.0955619,시도,고갯길,0.88
제주특별자치도 제주시,마을안길,33.4976921,126.9690069,33.4976921,126.9690069,지방도,기타,1
제주특별자치도 제주시,마을안길,33.9599659,126.296208,33.9599659,126.296208,지방도,기타,1
서울특별시 성동구,한림말길,37.5410552,127.0112187,37.5413195,127.0170301,구도,급경사,0.5
경기도 평택시,도시계획도로,36.999157,127.0969821,36.9979501,127.0948838,시도,기타,0.36
경상남도 도로관리사업소,덕유월성로(국지도37호),35.7703296,127.7181882,35.7496768,127.7060066,지방도,고갯길,3
제주특별자치도 제주시,이면도로 ,33.5125553,126.5222454,33.5125553,126.5222454,지방도,기타,1
제주특별자치도 제주시,마을안길,33.5108951,126.9555641,33.5108951,126.9555641,지방도,기타,1
제주특별자치도 제주시,이면도로,33.4419749,126.4832482,33.44157,126.4808461,지방도,기타,1
제주특별자치도 제주시,도시계획도로,33.4936931,126.5942622,33.4936931,126.5942622,지방도,기타,1
부산광역시 서구,꽃마을로,35.1217567,129.009464,35.127404,129.0069689,지방도,고갯길,0.8
경상북도 문경시,작약로,36.6167425,128.0389598,36.5885648,128.060924,시도,고갯길,4.2
경기도 포천시,387호선,38.0402285,127.328041,38.0397792,127.3281774,지방도,고갯길,9.6
경기도 포천시,78호선,38.0539335,127.3486341,38.0539121,127.3485935,지방도,고갯길,9
경기도 김포시,이면도로,37.6393711,126.656534,37.6393711,126.656534,지방도,기타,0.33
전북특별자치도 장수군,덕산재,35.6442846,127.5315817,35.6168679,127.550979,지방도,고갯길,9.5
세종특별자치시 도로관리사업소,한누리대로(시도 1호선),36.5214476,127.2597419,36.527237,127.2627024,시도,고가도로,0.6
경기도 평택시,도시계획도로,37.0028464,127.059287,37.0028464,127.059287,시도,기타,0.05
경기도 김포시,이면도로,37.6515654,126.6594848,37.6515654,126.6594848,지방도,기타,0.8
인천광역시 연수구,원인재로,37.4118277,126.681391,37.4132403,126.6841365,구도,고갯길,0.2
경기도 김포시,이면도로,37.6555397,126.6684507,37.6555397,126.6684507,지방도,기타,0.07
서울특별시 영등포구,영신로9나길,37.5126333,126.9072612,37.5133528,126.9064031,구도,급경사,0.09
강원특별자치도 도로관리사업소 북부지소,국도56호,38.1749156,127.5343622,38.225015,127.4930764,위임국도,고갯길,13
강원특별자치도 춘천시,군도4호선,37.740562,127.6659946,37.7396143,127.6535055,군도,고갯길,1.4
경기도 평택시,제방도로,36.9939379,127.0673538,36.9939379,127.0673538,시도,기타,0.04
경기도 김포시,마을안길,37.6104163,126.7761895,37.6087094,126.7788307,지방도,기타,0.4
전북특별자치도 장수군,비행기재,35.5844776,127.4248993,35.61913,127.4876191,지방도,고갯길,11.1
서울특별시 구로구,도림천로,37.4849798,126.9024398,37.4868626,126.8982298,시도,상습정체,0.57
서울특별시 구로구,안양천로,37.5020395,126.8673575,37.5008659,126.8688319,구도,급경사,0.6
서울특별시 영등포구,도영로22길 (도림동성당),37.5119074,126.9008205,37.5113124,126.9011972,구도,급경사,0.16
서울특별시 영등포구,고추말길 (영신로9길),37.5131283,126.9087243,37.5121286,126.9065828,구도,급경사,0.58
서울특별시 영등포구,영신로9길 (영일어린이공원),37.5100916,126.9048095,37.5116746,126.906147,구도,급경사,0.23
서울특별시 영등포구,여의대방로42나길,37.5066287,126.9216773,37.5071307,126.9208909,구도,급경사,0.12
전북특별자치도 정읍시 도시안전국 건설과,국도29호선,35.5325723,126.9084494,35.5294835,126.944474,일반국도,고갯길,5.8
경기도 평택시,도시계획도로,36.9943678,127.0800521,36.9943678,127.0800521,시도,기타,0.04
경기도 김포시,마을안길,37.7144396,126.5990632,37.7230078,126.6002795,지방도,기타,1
서울특별시 구로구,구로중앙로34길,37.500637,126.8839395,37.501239,126.8854543,구도,급경사,0.18
서울특별시 영등포구,가마산로77길 (신길삼성래미안1단지),37.5055214,126.9144644,37.5060464,126.9148309,구도,급경사,0.08
서울특별시 영등포구,영등포로84길 (신길1동주민센터),37.5113564,126.9218529,37.5111595,126.9217781,구도,급경사,0.06
전북특별자치도 정읍시 도시안전국 건설과,도시계획도로,35.4971796,126.9281364,35.479796,126.9277192,시도,고갯길,3.6
전북특별자치도 부안군 경제산업국 건설교통과,말재,35.6283581,126.51303,35.5997163,126.5274309,지방도,고갯길,5
서울특별시 서대문구,이화여대8길,37.5587317,126.9478269,37.5622687,126.9554486,구도,급경사,0.07
경상남도 하동군,59호,35.1395652,127.82574,35.1623298,127.828389,위임국도,고갯길,5
서울특별시 영등포구,신길로45길,37.5094498,126.910572,37.5091775,126.9101749,구도,급경사,0.07
경상남도,지방도1021호선,34.7701583,128.4011828,34.7685383,128.4060206,지방도,기타,1
세종특별자치시,시목부강로,36.526711,127.3745758,36.5219958,127.3760693,시도,고갯길,0.7
서울특별시 도로사업소 서부도로사업소,가좌로,37.5765788,126.934937,37.5768953,126.9338256,시도,급경사,0.11
서울특별시 도로사업소 서부도로사업소,가좌로,37.5798507,126.916112,37.5791225,126.9175704,시도,급경사,0.15
서울특별시 도로사업소 서부도로사업소,증가로,37.5776739,126.9208771,37.5783177,126.9190469,시도,급경사,0.2
강원특별자치도 속초시,미시령로,38.2028122,128.5374508,38.2026636,128.5411267,시도,급경사,0.6
충청북도 충주시,시의국도3호선(단월),36.9618178,127.8812304,36.9656461,127.9062965,군도,기타,2.4
인천광역시 중구,도원체육관,37.4666495,126.6417639,37.4647722,126.6393771,구도,고갯길,0.3
충청북도 충주시,금봉대로,36.9580914,127.9434179,36.9618087,127.9476034,군도,급경사,0.5
충청북도 충주시,예성여중 앞 도로,36.9572114,127.9440298,36.9601633,127.9273751,군도,급경사,1.7
충청북도 충주시,군도31호선(수안보),36.8251819,128.0058315,36.8153602,128.0222603,군도,급경사,2.5
충청남도 아산시,연암산로,36.8576053,127.0403115,36.853584,127.0457746,시도,고갯길,0.94
충청남도,지방도628호,36.8516713,127.0008637,36.8534947,126.9880145,지방도,고갯길,1.2
전라남도 목포시,부주로,34.8131952,126.4302176,34.8123419,126.4377513,시도,급경사,3
전라남도 무안군,군도37호선,34.8145034,126.479848,34.8187965,126.484987,군도,고가도로,0.9
충청남도 아산시,음봉면로,36.8547594,127.0155131,36.8607586,127.022938,시도,고갯길,1
광주광역시 북구,양일로,35.1978455,126.8706619,35.1977852,126.8726016,지방도,고갯길,0.4
광주광역시 동구,밤실로,35.1552602,126.9364626,35.1603802,126.9352594,지방도,급경사,0.9
충청남도 아산시,신성지구,36.8735601,126.9038222,36.8735601,126.9038222,농어촌도로,고갯길,0.2
경상남도 창원시 마산회원구,삼호로,35.2313712,128.5681365,35.2313712,128.5681365,시도,교차로,0.3
인천광역시 중구,홍예문로,37.4708528,126.6227259,37.47701,126.6305966,구도,고갯길,0.7
인천광역시 중구,개항로,37.4723037,126.6290281,37.472823,126.6350841,구도,고갯길,0.6
인천광역시 중구,우현로,37.4703463,126.6277882,37.4751656,126.6311403,구도,고갯길,0.5
인천광역시 중구,동화마을,37.478305,126.6195502,37.4783359,126.6195786,구도,고갯길,0.5
인천광역시 동구,방축로,37.4781572,126.6678587,37.4748328,126.6774545,시도,고가도로,0.9
인천광역시 동구,인중로,37.4810464,126.6443504,37.4811389,126.640216,시도,고갯길,0.35
인천광역시 강화군 도로과,불은초교,37.6812902,126.4869142,37.6845536,126.4803949,군도,급커브,2
전라남도 도로관리사업소,지방도861,35.3006269,127.3775987,35.3006269,127.3775987,지방도,급커브,4.5
인천광역시 강화군 도로과,전득이고개,37.6791381,126.3682481,37.6698258,126.3647204,군도,고갯길,1
서울특별시 성동구,금호산길,37.5492728,127.0197069,37.5516657,127.0194477,구도,급경사,0.2
서울특별시 중구,동호로8다길,37.551673,127.013423,37.553327,127.014604,구도,고갯길,0.5
서울특별시 관악구,관악로28길(관악로28길 22),37.4851516,126.9573874,37.4833666,126.9596278,구도,기타,0.34
광주광역시 남구,효덕로,35.0932952,126.9127599,35.0886594,126.9140834,지방도,기타,1
광주광역시 남구,1호선,35.086552,126.8749709,35.0788331,126.8537227,일반국도,터널,2.5
경기도 평택시 비전2동,신한2길,36.9938855,127.1075131,36.9927858,127.1078157,시도,급경사,0.17
서울특별시 성동구,2번마을버스길,37.5557981,127.0338715,37.555561,127.0254445,구도,급경사,1.4
인천광역시 강화군 도로과,찬우물고개,37.7133346,126.4802029,37.7149532,126.4774827,군도,고갯길,1
서울특별시 광진구,용마산로36길,37.5687012,127.0886937,37.5707151,127.0881145,구도,고갯길,0.2
서울특별시 관악구,난곡로(난향삼거리),37.4628018,126.9187992,37.4613886,126.9258628,구도,기타,0.82
광주광역시 북구,서암대로,35.178481,126.8767491,35.1649744,126.9191734,지방도,기타,1
광주광역시 북구,면앙로,35.1782887,126.9208139,35.1765778,126.9274372,지방도,급경사,1.1
광주광역시 북구,동문대로,35.1648795,126.9197146,35.2153267,126.9496626,지방도,고갯길,6.7
광주광역시 북구,서하로,35.1821742,126.919091,35.1822046,126.9250223,지방도,고가도로,1
광주광역시 북구,무등로,35.1594942,126.9449071,35.1571215,126.9734631,지방도,급경사,4
충청북도 충주시,안림로(마즈막재~하늘나라~요각골),36.9695234,127.9467794,36.9729466,127.9799704,군도,급경사,3.3
광주광역시 북구,탁영로,35.1665811,126.9341265,35.1663871,126.9371264,지방도,급경사,0.3
서울특별시 광진구,천호대로140길(양진초등학교 정문앞),37.543959,127.097263,37.544154,127.100018,구도,고갯길,0.1
서울특별시 관악구,쑥고개로(쑥고개로3),37.4773023,126.9375793,37.4784186,126.9397841,구도,기타,0.25
서울특별시 강남구,논현로,37.5193823,127.0284772,37.5012477,127.0372865,시도,고갯길,2.2
서울특별시 성동구,금호로1길,37.5515758,127.0231677,37.552875,127.0234153,구도,급경사,0.22
광주광역시 북구,서하로,35.1864657,126.8823648,35.1873196,126.8991464,지방도,급경사,1.4
광주광역시 북구,민주로,35.2152176,126.9496545,35.2315457,126.9424549,지방도,급경사,2.2
광주광역시 북구,첨단과기로,35.2291856,126.8365583,35.2240859,126.838063,지방도,기타,0.7
전라남도 목포시,유달로,34.7862505,126.3782328,34.7801739,126.3729653,시도,급커브,0.5
전라남도 목포시,대양로,34.8306481,126.4174744,34.820721,126.3989166,시도,급경사,5
전라남도 도로관리사업소,지방도840,35.2062471,127.2802694,35.2062471,127.2802694,지방도,산악지대,8.9
전라남도 도로관리사업소,지방도60,35.2290226,127.2346862,35.2420089,127.2517127,지방도,고갯길,2.7
전라남도 도로관리사업소,위임국도 15,35.2002697,127.1298438,35.1950421,127.1356703,위임국도,고갯길,0.8
전라남도 완도군,완도군청 ~ 완도남중학교,34.311665,126.7548685,34.3077461,126.7518513,군도,고갯길,0.6
전라남도 진도군,군도15호선,34.4645686,126.3117268,34.4630377,126.3262676,군도,고갯길,1.6
전라남도 진도군,군도15호선,34.4630383,126.3263254,34.4635082,126.3318897,군도,고갯길,0.9
전라남도 진도군,농어촌도로 의신102호선,34.4103792,126.3337193,34.4002424,126.3267315,농어촌도로,고갯길,1.1
전라남도 신안군,정동마을 마을안길,34.8321115,126.3501169,34.832046,126.3490809,농어촌도로,급경사,0.22
광주광역시 동구,화산로,35.1165227,126.9215095,35.1162417,126.9204997,시도,급경사,0.7
광주광역시 북구,임방울대로1042번길,35.2097238,126.8681082,35.2097725,126.8701985,지방도,급경사,0.3
전라남도 무안군,후광대로,34.8144429,126.4663331,34.8144429,126.4663331,지방도,지하차도,0.6
경상북도 칠곡군 건설과,기타도로,36.0038486,128.4178506,36.0035446,128.4188091,농어촌도로,급경사,0.2
경상북도,923,35.9859003,128.4821479,36.041335,128.4858794,지방도,급경사,6.8
경상북도 칠곡군 건설과,5,36.0292794,128.4794492,36.0286559,128.4739505,군도,급경사,0.8
경상북도 칠곡군 건설과,면도101,35.9892125,128.4956782,36.0049545,128.5090477,농어촌도로,급경사,2.4
경상북도 칠곡군 건설과,17,35.9451714,128.4960241,35.9280002,128.5201665,군도,급경사,4.8
경상북도 칠곡군 건설과,26,35.9553417,128.5021424,35.9758362,128.5150012,군도,기타,3.3
경상북도 칠곡군 도시계획과,기타도로,35.9102877,128.4954693,35.8957599,128.5048279,농어촌도로,기타,2
경상북도 칠곡군 건설과,24,35.9436826,128.4689088,35.954945,128.4454702,군도,기타,4.6
경상북도 칠곡군,군도22호선,36.0062118,128.3411836,36.0110246,128.3510871,군도,고갯길,1.3
경상북도 칠곡군 건설과,농도301호선,36.0411697,128.4469921,36.0522041,128.450736,농어촌도로,기타,1.7
